行政區,場地,類別,緯度,經度
士林區,天母運動場區,籃球場1,25.1137,121.5345
士林區,天母運動場區,籃球場2,25.1137,121.5347
士林區,天母運動場區,籃球場3,25.1135,121.5345
士林區,天母運動場區,籃球場4,25.1135,121.5347
士林區,天母運動場區,溜冰場,25.1149,121.5334
士林區,天母運動場區,滾球場1,25.1153,121.5348
士林區,天母運動場區,滾球場2,25.1154,121.535
士林區,天母運動場區,滾球場3,25.1154,121.5352
士林區,百齡河濱公園(右岸) (士林岸),籃球場1,25.0865,121.5148
士林區,百齡河濱公園(右岸) (士林岸),籃球場2,25.0865,121.5151
士林區,百齡河濱公園(右岸) (士林岸),籃球場3,25.0865,121.5153
士林區,百齡河濱公園(右岸) (士林岸),籃球場4,25.0861,121.5149
士林區,百齡河濱公園(右岸) (士林岸),籃球場5,25.0861,121.5151
士林區,百齡河濱公園(右岸) (士林岸),籃球場6,25.0861,121.5154
士林區,百齡河濱公園(右岸) (士林岸),籃球場7,25.0812,121.5167
士林區,百齡河濱公園(右岸) (士林岸),籃球場8,25.0811,121.5171
士林區,百齡河濱公園(右岸) (士林岸),壘球場A,25.0913,121.5144
士林區,百齡河濱公園(右岸) (士林岸),壘球場B,25.0923,121.5139
士林區,百齡河濱公園(右岸) (士林岸),壘球場C,25.0936,121.513
士林區,百齡河濱公園(右岸) (士林岸),壘球場D,25.0943,121.5125
士林區,百齡河濱公園(右岸) (士林岸),壘球場E,25.0945,121.5121
士林區,百齡河濱公園(右岸) (士林岸),橄欖球場A,25.0827,121.516
士林區,百齡河濱公園(右岸) (士林岸),橄欖球場B,25.0839,121.5155
士林區,百齡河濱公園(右岸) (士林岸),橄欖球場C,25.0851,121.5152
士林區,百齡河濱公園(右岸) (士林岸),足球場(11人)A,25.0889,121.5149
士林區,百齡河濱公園(右岸) (士林岸),足球場(11人)B,25.0877,121.5151
士林區,雙溪河濱公園,籃球場1,25.1007,121.5364
士林區,雙溪河濱公園,籃球場2,25.099,121.5225
士林區,雙溪河濱公園,籃球場3,25.0989,121.5221
士林區,雙溪河濱公園,羽球場1,25.1006,121.5366
士林區,雙溪河濱公園,羽球場2,25.1001,121.53
士林區,雙溪河濱公園,羽球場3,25.1001,121.5299
士林區,雙溪碼頭,碼頭,25.0968,121.5092
士林區,百齡河濱公園(左岸) (社子岸),籃球場A,25.0771,121.5204
士林區,百齡河濱公園(左岸) (社子岸),籃球場B,25.0772,121.5199
士林區,百齡河濱公園(左岸) (社子岸),籃球場C,25.0843,121.5132
士林區,百齡河濱公園(左岸) (社子岸),籃球場D,25.0847,121.5131
士林區,百齡河濱公園(左岸) (社子岸),籃球場E,25.0917,121.5112
士林區,百齡河濱公園(左岸) (社子岸),籃球場F,25.0918,121.511
士林區,百齡河濱公園(左岸) (社子岸),籃球場G,25.0921,121.511
士林區,百齡河濱公園(左岸) (社子岸),籃球場H,25.0922,121.5108
士林區,百齡河濱公園(左岸) (社子岸),籃球場I,25.0945,121.5046
士林區,百齡河濱公園(左岸) (社子岸),網球場1,25.0888,121.5122
士林區,百齡河濱公園(左岸) (社子岸),網球場2,25.0888,121.5124
士林區,百齡河濱公園(左岸) (社子岸),網球場3,25.0889,121.5125
士林區,百齡河濱公園(左岸) (社子岸),網球場4,25.0889,121.5127
士林區,百齡河濱公園(左岸) (社子岸),網球場5,25.0892,121.5122
士林區,百齡河濱公園(左岸) (社子岸),網球場6,25.0892,121.5123
士林區,百齡河濱公園(左岸) (社子岸),網球場7,25.0893,121.5124
士林區,百齡河濱公園(左岸) (社子岸),網球場8,25.0886,121.5128
